Report Date,Week Ending Date,Health Region,Vaccination Status,Infections,Hospitalizations,Deaths,Population Denominator
9/24/21,5/1/21,Southwest Region,Unvaccinated,1027,75,21,4388240
9/24/21,4/24/21,Northern Region,Partially Vaccinated,266,17,0,1225257
9/24/21,2/6/21,Central Region,Fully Vaccinated,4,0,0,230152
9/24/21,8/28/21,Central Region,Unvaccinated,3629,48,15,3039229
9/24/21,6/26/21,Eastern Region,Fully Vaccinated,25,2,1,4226322
9/24/21,5/29/21,Northwest Region,Partially Vaccinated,24,3,0,778285
9/24/21,2/20/21,Eastern Region,Unvaccinated,3325,149,42,7362549
9/24/21,8/21/21,Southwest Region,Partially Vaccinated,185,8,2,638793
9/24/21,4/17/21,Central Region,Partially Vaccinated,180,6,8,1293027
9/24/21,7/31/21,Central Region,Partially Vaccinated,114,2,4,564867
9/24/21,2/27/21,Northern Region,Unvaccinated,2614,39,4,7189262
9/24/21,7/17/21,Central Region,Partially Vaccinated,26,0,0,527882
9/24/21,6/19/21,Central Region,Partially Vaccinated,16,2,0,575514
9/24/21,2/13/21,Southwest Region,Unvaccinated,2131,85,37,7470053
9/24/21,4/17/21,Northern Region,Partially Vaccinated,335,10,6,1293027
9/24/21,7/17/21,Northern Region,Unvaccinated,438,14,1,3428473
9/24/21,8/14/21,Northwest Region,Fully Vaccinated,492,21,4,4740650
9/24/21,5/1/21,Southwest Region,Fully Vaccinated,57,7,3,3042614
9/24/21,2/20/21,Northern Region,Unvaccinated,2669,42,10,7362549
9/24/21,4/24/21,Eastern Region,Partially Vaccinated,141,11,3,1225257
9/24/21,8/7/21,Southwest Region,Unvaccinated,1775,85,30,3239711
9/24/21,5/8/21,Central Region,Unvaccinated,716,29,12,4250779
9/24/21,2/13/21,Southwest Region,Fully Vaccinated,5,0,1,367440
9/24/21,7/10/21,Eastern Region,Fully Vaccinated,73,1,2,4532652
9/24/21,5/29/21,Northern Region,Partially Vaccinated,38,5,1,778285
9/24/21,6/5/21,Northern Region,Unvaccinated,250,10,4,3728552
9/24/21,7/3/21,Central Region,Fully Vaccinated,48,3,0,4484930
9/24/21,7/10/21,Central Region,Unvaccinated,349,10,1,3471480
9/24/21,5/29/21,Eastern Region,Partially Vaccinated,25,2,0,778285
9/24/21,5/8/21,Northern Region,Fully Vaccinated,53,3,2,3314687
9/24/21,5/8/21,Eastern Region,Unvaccinated,942,43,7,4250779
9/24/21,8/7/21,Eastern Region,Unvaccinated,2790,166,20,3239711
9/24/21,8/28/21,Eastern Region,Fully Vaccinated,588,19,6,4852088
9/24/21,3/20/21,Central Region,Partially Vaccinated,139,13,5,965502
9/24/21,6/19/21,Eastern Region,Partially Vaccinated,10,1,1,575514
9/24/21,4/17/21,Southwest Region,Partially Vaccinated,157,11,2,1293027
9/24/21,5/29/21,Central Region,Fully Vaccinated,21,3,3,3953355
9/24/21,8/14/21,Central Region,Partially Vaccinated,176,9,0,625346
9/24/21,4/3/21,Central Region,Fully Vaccinated,17,1,1,1737620
9/24/21,7/31/21,Eastern Region,Fully Vaccinated,418,19,9,4657238
9/24/21,2/6/21,Northwest Region,Partially Vaccinated,212,10,6,715996
9/24/21,9/11/21,Eastern Region,Unvaccinated,4557,266,12,2925622
9/24/21,4/10/21,Eastern Region,Partially Vaccinated,241,18,8,1335587
9/24/21,4/17/21,Central Region,Unvaccinated,1507,51,18,4859889
9/24/21,8/28/21,Northern Region,Fully Vaccinated,757,11,3,4852088
9/24/21,3/20/21,Eastern Region,Fully Vaccinated,19,2,0,1216291
9/24/21,7/3/21,Eastern Region,Unvaccinated,293,15,1,3510668
9/24/21,6/26/21,Eastern Region,Partially Vaccinated,6,0,0,528613
9/24/21,4/10/21,Northern Region,Partially Vaccinated,386,21,1,1335587
9/24/21,1/23/21,Southwest Region,Unvaccinated,4283,146,53,8006973
